epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,884.12,0.16809,8.54918,0.25002,0.14206,0.90904,0.99902,1,0.995,0.995,0,0,0,0,0.28783,9.01155,0.20651,0.35471,0.4023,0.000843851,0.000843851,0.000843851
41,905.745,0.16897,8.56858,0.25919,0.141,0.91111,0.99899,1,0.995,0.96664,0,0,0,0,0.24552,9.06005,0.20059,0.31752,0.38337,0.00083622,0.00083622,0.00083622
42,927.214,0.16646,8.5668,0.25399,0.13655,0.90293,0.99853,1,0.995,0.95992,0,0,0,0,0.26384,9.06063,0.19111,0.34472,0.4099,0.000828443,0.000828443,0.000828443
43,948.745,0.1598,8.53323,0.25011,0.13602,0.90671,0.99904,1,0.995,0.995,0,0,0,0,0.23991,9.01288,0.19865,0.23224,0.38358,0.000820525,0.000820525,0.000820525
44,970.291,0.16775,8.49836,0.24409,0.14219,0.89874,0.96467,1,0.99394,0.96777,0,0,0,0,0.34192,9.04569,0.17949,0.36328,0.46613,0.000812468,0.000812468,0.000812468
45,991.817,0.16391,8.4594,0.24358,0.13684,0.90977,0.99879,1,0.995,0.98613,0,0,0,0,0.32659,9.08324,0.18421,0.3264,0.41281,0.000804277,0.000804277,0.000804277
46,1013.37,0.15438,8.38817,0.23932,0.13071,0.89587,0.98216,1,0.995,0.9914,0,0,0,0,0.29469,8.87184,0.18991,0.38125,0.41892,0.000795954,0.000795954,0.000795954
47,1034.97,0.15586,8.38365,0.24536,0.1306,0.89866,0.9989,1,0.995,0.9932,0,0,0,0,0.30636,8.92769,0.18784,0.28229,0.46828,0.000787503,0.000787503,0.000787503
48,1056.7,0.15063,8.42597,0.25748,0.13001,0.9104,1,0.99841,0.995,0.995,0,0,0,0,0.31769,8.92557,0.18914,0.30124,0.43804,0.000778929,0.000778929,0.000778929
49,1078.52,0.16061,8.41362,0.23884,0.13811,0.89871,0.9991,1,0.995,0.99451,0.03598,0.03571,0.01739,0.00259,0.27012,8.81466,0.18651,0.32899,0.41717,0.000770234,0.000770234,0.000770234
50,1100.08,0.15967,8.36119,0.24158,0.13582,0.90545,0.98154,1,0.99447,0.99447,0,0,0,0,0.38381,8.89586,0.1838,0.37399,0.51119,0.000761423,0.000761423,0.000761423
51,1121.65,0.15955,8.35688,0.25396,0.13219,0.89951,0.99913,1,0.995,0.99322,0.01816,0.01786,0.00854,0.00256,0.27073,8.86181,0.18957,0.31993,0.42258,0.0007525,0.0007525,0.0007525
52,1143.37,0.16231,8.33755,0.24907,0.1345,0.90428,0.99899,1,0.995,0.995,0,0,0,0,0.26595,9.04852,0.17464,0.21324,0.38342,0.000743468,0.000743468,0.000743468
53,1164.99,0.15881,8.36277,0.2373,0.13274,0.90129,0.99904,1,0.995,0.99347,0,0,0,0,0.33777,8.97719,0.19092,0.30968,0.45492,0.000734332,0.000734332,0.000734332
54,1186.48,0.15745,8.26974,0.23845,0.13517,0.8965,0.99954,1,0.995,0.99058,0,0,0,0,0.30804,8.90613,0.18564,0.28297,0.43961,0.000725094,0.000725094,0.000725094
55,1208,0.15311,8.34972,0.24767,0.13185,0.89412,0.99904,1,0.995,0.995,0,0,0,0,0.31989,8.9503,0.18895,0.28358,0.41224,0.000715761,0.000715761,0.000715761
56,1229.56,0.14869,8.37484,0.23902,0.12568,0.89901,0.99891,1,0.995,0.99386,0,0,0,0,0.26984,8.99051,0.19192,0.27647,0.38885,0.000706335,0.000706335,0.000706335
57,1251.14,0.15407,8.35889,0.2361,0.12779,0.90245,0.99907,1,0.995,0.99408,0,0,0,0,0.25013,8.78527,0.1923,0.24062,0.37426,0.00069682,0.00069682,0.00069682
58,1272.76,0.15482,8.28558,0.25697,0.1296,0.89376,0.99287,1,0.995,0.98923,0.01776,0.01786,0.00861,0.00086,0.27319,8.81181,0.18428,0.31425,0.34472,0.000687222,0.000687222,0.000687222
59,1294.32,0.14821,8.26675,0.23471,0.12749,0.89848,0.99927,1,0.995,0.99349,0.01783,0.01786,0.00753,0.00075,0.31581,8.79022,0.18026,0.25396,0.43571,0.000677543,0.000677543,0.000677543
60,1315.8,0.14981,8.25631,0.24515,0.1273,0.89362,0.99864,1,0.995,0.97679,0.02597,0.03571,0.01351,0.00202,0.42084,8.81851,0.20271,0.34157,0.46019,0.000667789,0.000667789,0.000667789
61,1337.36,0.14676,8.1275,0.24286,0.12395,0.89572,0.98155,1,0.99412,0.99412,0,0,0,0,0.34249,8.81747,0.17827,0.38277,0.42249,0.000657963,0.000657963,0.000657963
62,1359.01,0.14975,8.19839,0.237,0.12824,0.89868,0.99905,1,0.995,0.99421,0,0,0,0,0.32501,8.78257,0.18778,0.27796,0.43181,0.000648071,0.000648071,0.000648071
63,1381.21,0.14881,8.12396,0.23873,0.12459,0.89003,0.98068,1,0.995,0.98946,0,0,0,0,0.34546,8.74846,0.18942,0.43853,0.39456,0.000638115,0.000638115,0.000638115
64,1403.41,0.14187,8.17487,0.24093,0.12282,0.89418,0.99907,1,0.995,0.99288,0,0,0,0,0.33578,8.9055,0.19497,0.4573,0.39765,0.000628101,0.000628101,0.000628101
65,1425.73,0.14687,8.1295,0.2374,0.12149,0.89973,0.99906,1,0.995,0.99311,0.01784,0.01786,0.00865,0.00086,0.29979,8.81643,0.18301,0.32104,0.39554,0.000618034,0.000618034,0.000618034
66,1448.07,0.13973,8.10035,0.23562,0.11721,0.88973,0.99905,1,0.995,0.99283,0,0,0,0,0.31201,8.81614,0.18801,0.2808,0.43224,0.000607916,0.000607916,0.000607916
67,1470.36,0.14207,8.16625,0.23986,0.12026,0.89457,0.99908,1,0.995,0.995,0.05352,0.05357,0.02693,0.00269,0.24048,8.69287,0.18211,0.288,0.3514,0.000597754,0.000597754,0.000597754
68,1492.65,0.1412,8.08006,0.23749,0.12117,0.89616,0.99871,1,0.995,0.99393,0,0,0,0,0.24966,8.71526,0.17174,0.40129,0.38652,0.000587551,0.000587551,0.000587551
69,1514.97,0.13723,8.05138,0.23579,0.11669,0.88608,1,1,0.995,0.995,0,0,0,0,0.29521,8.7666,0.18028,0.3549,0.37004,0.000577311,0.000577311,0.000577311
70,1537.29,0.14185,8.07372,0.23373,0.11902,0.88889,0.99905,1,0.995,0.99407,0.01784,0.01786,0.0085,0.00085,0.27708,8.68358,0.18166,0.36235,0.36648,0.00056704,0.00056704,0.00056704
71,1559.58,0.13673,8.05533,0.23954,0.12167,0.89729,0.99889,1,0.995,0.99128,0,0,0,0,0.34986,8.80771,0.1869,0.35065,0.4023,0.000556742,0.000556742,0.000556742
72,1581.88,0.14142,8.08155,0.24007,0.11955,0.8861,0.99907,1,0.995,0.995,0.03568,0.03571,0.01819,0.00182,0.32764,8.7375,0.18407,0.3984,0.41358,0.000546421,0.000546421,0.000546421
73,1604.12,0.13984,8.0835,0.24653,0.11797,0.88851,0.99906,1,0.995,0.995,0.01785,0.01786,0.00865,0.00087,0.31085,8.90018,0.18398,0.32922,0.4067,0.000536081,0.000536081,0.000536081
74,1626.47,0.1373,8.03235,0.23741,0.1171,0.89229,0.99865,1,0.995,0.995,0,0,0,0,0.24154,8.6807,0.18757,0.27237,0.36175,0.000525728,0.000525728,0.000525728
75,1648.71,0.13538,8.00069,0.23464,0.11444,0.88336,0.99905,1,0.995,0.995,0,0,0,0,0.21767,8.71409,0.18345,0.28719,0.32935,0.000515366,0.000515366,0.000515366
76,1670.98,0.13192,7.90414,0.23793,0.11283,0.88143,0.99907,1,0.995,0.995,0.03568,0.03571,0.0167,0.00167,0.22786,8.66747,0.17726,0.29754,0.33049,0.000505,0.000505,0.000505
77,1693.25,0.13036,8.02068,0.2343,0.11329,0.88771,0.99906,1,0.995,0.995,0.01784,0.01786,0.00744,0.00074,0.21713,8.68803,0.18269,0.24726,0.32823,0.000494634,0.000494634,0.000494634
78,1715.56,0.13282,7.96971,0.23715,0.11051,0.88447,0.99896,1,0.995,0.9819,0.01784,0.01786,0.00858,0.00257,0.29005,8.66389,0.19072,0.40764,0.38822,0.000484272,0.000484272,0.000484272
79,1737.9,0.13604,7.94336,0.23384,0.11299,0.87707,1,1,0.995,0.995,0.03571,0.03571,0.01867,0.00373,0.24334,8.59825,0.17795,0.2772,0.32698,0.000473919,0.000473919,0.000473919
80,1760.21,0.13156,7.93475,0.23869,0.11131,0.88098,0.99906,1,0.995,0.995,0.03569,0.03571,0.01679,0.00331,0.23174,8.55962,0.17628,0.21494,0.33198,0.000463579,0.000463579,0.000463579
81,1782.49,0.1312,7.9401,0.23567,0.1115,0.89395,0.99908,1,0.995,0.99362,0.05353,0.05357,0.02893,0.0039,0.21483,8.63149,0.17686,0.24698,0.33804,0.000453258,0.000453258,0.000453258
82,1804.84,0.1276,7.89641,0.22964,0.10881,0.87842,0.99908,1,0.995,0.995,0,0,0,0,0.25864,8.74342,0.18014,0.23263,0.35814,0.00044296,0.00044296,0.00044296
83,1827.19,0.12299,7.93014,0.23228,0.10753,0.87633,1,1,0.995,0.995,0.01786,0.01786,0.00909,0.00273,0.20229,8.54548,0.17353,0.26617,0.31545,0.000432689,0.000432689,0.000432689
84,1849.56,0.12419,7.88227,0.23875,0.10622,0.8826,0.99907,1,0.995,0.995,0.01784,0.01786,0.00904,0.00362,0.20426,8.63955,0.17401,0.25355,0.33695,0.000422449,0.000422449,0.000422449
85,1871.9,0.12848,7.86884,0.23464,0.10728,0.89104,0.99906,1,0.995,0.995,0,0,0,0,0.22812,8.70553,0.17832,0.26735,0.34533,0.000412246,0.000412246,0.000412246
86,1894.22,0.11985,7.80147,0.23113,0.1021,0.87951,0.99906,1,0.995,0.995,0.01784,0.01786,0.00834,0.00167,0.27788,8.7246,0.18392,0.3012,0.36115,0.000402084,0.000402084,0.000402084
87,1916.58,0.12313,7.82165,0.22334,0.10412,0.87855,1,1,0.995,0.995,0.03571,0.03571,0.03474,0.00762,0.26612,8.7099,0.18036,0.31659,0.35014,0.000391966,0.000391966,0.000391966
88,1938.99,0.1211,7.84314,0.23216,0.10308,0.88672,1,1,0.995,0.99119,0.03571,0.03571,0.04058,0.0082,0.24155,8.52639,0.16952,0.26602,0.35182,0.000381899,0.000381899,0.000381899
89,1961.32,0.11885,7.78186,0.22652,0.10234,0.87981,0.99908,1,0.995,0.97772,0.01785,0.01786,0.02297,0.00689,0.24448,8.47958,0.17019,0.30202,0.35484,0.000371885,0.000371885,0.000371885
90,1983.66,0.12241,7.73364,0.23259,0.102,0.87797,0.99906,1,0.995,0.98521,0.03569,0.03571,0.0388,0.0082,0.25917,8.51805,0.17307,0.31434,0.36324,0.000361929,0.000361929,0.000361929
91,2005.97,0.12026,7.72745,0.22716,0.10327,0.8821,0.99906,1,0.995,0.9755,0.03569,0.03571,0.02222,0.0039,0.22302,8.55859,0.16857,0.30232,0.34626,0.000352037,0.000352037,0.000352037
92,2028.29,0.1175,7.77409,0.22315,0.10554,0.87365,0.99907,1,0.995,0.98083,0.03569,0.03571,0.03461,0.01165,0.23883,8.57005,0.16926,0.29998,0.36132,0.000342211,0.000342211,0.000342211
